Defocus	Pupil	RMS	Strehl
-1	6.31665	1.71069	0.00305267
-0.9	6.31665	1.59141	0.0035667
-0.8	6.31665	1.47655	0.00416563
-0.7	6.31665	1.36721	0.00433544
-0.6	6.31665	1.26482	0.00453055
-0.5	6.31665	1.17122	0.00550036
-0.4	6.31665	1.08866	0.00532093
-0.3	6.31665	1.01984	0.00612605
-0.2	6.31665	0.967692	0.00730145
-0.1	6.31665	0.935008	0.00645141
0	6.31665	0.923856	0.00799248
0.1	6.31665	0.935008	0.00880598
0.2	6.31665	0.967692	0.013163
0.3	6.31665	1.01984	0.0156854
0.4	6.31665	1.08866	0.0140933
0.5	6.31665	1.17122	0.0156946
0.6	6.31665	1.26482	0.0102265
0.7	6.31665	1.36721	0.00648894
0.8	6.31665	1.47655	0.00706811
0.9	6.31665	1.59141	0.00892779
1	6.31665	1.71069	0.0059159
-1	6	1.52266	0.00430025
-0.9	6	1.41345	0.00499994
-0.8	6	1.30804	0.00556027
-0.7	6	1.20742	0.00549565
-0.6	6	1.11287	0.00628668
-0.5	6	1.02609	0.00688509
-0.4	6	0.9492	0.00734152
-0.3	6	0.884791	0.00775657
-0.2	6	0.835751	0.00739185
-0.1	6	0.804894	0.00900681
0	6	0.794342	0.013191
0.1	6	0.804894	0.0157383
0.2	6	0.835751	0.0220779
0.3	6	0.884791	0.0178066
0.4	6	0.9492	0.0165282
0.5	6	1.02609	0.0100374
0.6	6	1.11287	0.00831754
0.7	6	1.20742	0.00795728
0.8	6	1.30804	0.0101728
0.9	6	1.41345	0.00748136
1	6	1.52266	0.00655893
-1	5	1.07123	0.0129451
-0.9	5	0.996448	0.0133183
-0.8	5	0.924426	0.0142566
-0.7	5	0.855858	0.0145613
-0.6	5	0.791643	0.0146829
-0.5	5	0.732926	0.0136753
-0.4	5	0.68113	0.0165938
-0.3	5	0.637943	0.0218765
-0.2	5	0.605212	0.0243935
-0.1	5	0.584694	0.0290856
0	5	0.577693	0.035205
0.1	5	0.584694	0.0242465
0.2	5	0.605212	0.0155262
0.3	5	0.637943	0.0196746
0.4	5	0.68113	0.0183401
0.5	5	0.732926	0.0161652
0.6	5	0.791643	0.0133926
0.7	5	0.855858	0.00984084
0.8	5	0.924426	0.00929116
0.9	5	0.996448	0.00805963
1	5	1.07123	0.00766296
-1	4	0.692199	0.0352545
-0.9	4	0.64483	0.035388
-0.8	4	0.599283	0.0355516
-0.7	4	0.556003	0.0309752
-0.6	4	0.515564	0.0269048
-0.5	4	0.478685	0.036099
-0.4	4	0.446251	0.0448973
-0.3	4	0.419293	0.0581395
-0.2	4	0.398923	0.0485783
-0.1	4	0.386186	0.0311413
0	4	0.381846	0.0411832
0.1	4	0.386186	0.0366852
0.2	4	0.398923	0.036569
0.3	4	0.419293	0.0301722
0.4	4	0.446251	0.0258879
0.5	4	0.478685	0.020108
0.6	4	0.515564	0.0188044
0.7	4	0.556003	0.0195024
0.8	4	0.599283	0.0214465
0.9	4	0.64483	0.0209351
1	4	0.692199	0.0192166
-1	3	0.414961	0.0862868
-0.9	3	0.390069	0.0885381
-0.8	3	0.366366	0.0889588
-0.7	3	0.344099	0.0943491
-0.6	3	0.323563	0.0929433
-0.5	3	0.305109	0.0859769
-0.4	3	0.289135	0.0790518
-0.3	3	0.276073	0.0752114
-0.2	3	0.266351	0.0849742
-0.1	3	0.260344	0.0815567
0	3	0.25831	0.0651178
0.1	3	0.260344	0.0570317
0.2	3	0.266351	0.0483681
0.3	3	0.276073	0.0393476
0.4	3	0.289135	0.039569
0.5	3	0.305109	0.0429871
0.6	3	0.323563	0.0466341
0.7	3	0.344099	0.0508913
0.8	3	0.366366	0.0530519
0.9	3	0.390069	0.0535197
1	3	0.414961	0.0486021
